Bronx Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,50,,A5,3314 BOUCK AVENUE,,10469,1,0,1,"1,900","1,567",1940,1,A5,"315,000",12/27/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,55,,A5,3324 BOUCK AVENUE,,10469,1,0,1,"1,900","1,681",1940,1,A5,"430,000",1/27/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,57,,A5,3328 BOUCK AVENUE,,10469,1,0,1,"1,900","1,681",1940,1,A5,"420,000",1/22/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,74,,A5,1278 GIVAN AVENUE,,10469,1,0,1,"1,887","1,280",1955,1,A5,0,6/10/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,81,,A5,1294 GIVAN AVENUE,,10469,1,0,1,"1,739","1,280",1955,1,A5,"474,000",7/24/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,112,,A5,3276 BOUCK AVENUE,,10469,1,0,1,"1,800","1,782",1955,1,A5,"436,000",3/19/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,191,,A5,3215 WILSON AVENUE,,10469,1,0,1,"2,024","1,960",1940,1,A5,0,9/17/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4735,57,,A5,3352 WILSON AVENUE,,10469,1,0,1,"1,900","1,681",1930,1,A5,"548,000",3/23/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4735,83,,S1,3304 WILSON AVENUE,,10469,1,1,2,"2,208","2,430",1930,1,S1,0,3/10/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4736,63,,A5,3354 FISH AVENUE,,10469,1,0,1,"1,775","1,585",1935,1,A5,"435,000",1/24/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4736,64,,A5,3356 FISH AVENUE,,10469,1,0,1,"1,775","1,585",1935,1,A5,"510,000",12/27/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4736,143,,A5,3312A FISH AVENUE,,10469,1,0,1,"1,858","1,260",1935,1,A5,0,6/10/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4737,30,,A5,3321 FENTON AVENUE,,10469,1,0,1,"2,367","1,330",1945,1,A5,"548,000",12/5/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4739,20,,A5,3221 FISH AVENUE,,10469,1,0,1,"2,500","1,748",1930,1,A5,"550,000",9/12/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4739,23,,A5,3215 FISH AVENUE,,10469,1,0,1,"2,500","1,742",1930,1,A5,"250,000",5/21/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4739,55,,A5,3242 WILSON AVENUE,,10469,1,0,1,"2,000","2,220",1950,1,A5,"367,000",6/9/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4741,1,,A5,3250 SEYMOUR AVENUE,,10469,1,0,1,"1,600","1,536",1945,1,A5,0,4/22/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4741,11,,A5,3243 FENTON AVENUE,,10469,1,0,1,"2,050","1,408",1920,1,A5,"490,000",7/31/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4741,27,,A5,3211 FENTON AVENUE,,10469,1,0,1,"2,050","1,408",1920,1,A5,"527,000",4/7/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4742,12,,A5,3243 CORSA AVENUE,,10469,1,0,1,"1,800","1,260",1950,1,A5,"432,000",7/14/2020
