Manhattan Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,400,45,,C6,"225 EAST 4TH STREET, 13",,10009,,,,,,1937,2,C6,"549,000",2/12/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,400,45,,C6,"225 EAST 4TH STREET, 14",,10009,,,,,,1937,2,C6,0,9/12/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,400,45,,C6,"225 EAST 4TH STREET, 17",,10009,,,,,,1937,2,C6,"575,000",12/16/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,402,48,,C6,"535 EAST 6TH STREET, 4A",,10009,,,,,,1900,2,C6,"450,000",4/10/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,402,49,,C6,"533 EAST 6TH STREET, 2",,10009,,,,,,1900,2,C6,"1,085,000",12/10/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,404,10,,C6,"512 EAST 11TH ST, 5C",,10009,,,,,,1929,2,C6,"359,000",11/7/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,405,51,,C6,"519 EAST 11TH STREET, 1A",,10009,,,,,,1910,2,C6,"650,000",11/14/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,406,61,,C6,"507 EAST 12TH STREET, 2A",,10009,,,,,,1900,2,C6,"601,000",6/11/2020
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,2,386,36,,D0,"300 EAST 4TH STREET, 1A",,10009,,,,,,1940,2,D0,"1,200,000",5/27/2020
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,2,386,36,,D0,"300 EAST 4TH STREET, 2D",,10009,,,,,,1940,2,D0,"765,000",7/7/2020
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,2,387,44,,D4,"283 EAST 4 STREET, 4C",,10009,,,,,,1920,2,D4,"650,000",1/30/2020
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,2,398,8,,D4,"156-168 EAST 3RD STREET, 4C",,10009,,,,,,1940,2,D4,"687,419",2/28/2020
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,2,398,8,,D4,"160 EAST 3RD STREET, 3D",,10009,,,,,,1940,2,D4,"1,050,000",9/20/2019
1,ALPHABET CITY,11 SPECIAL CONDO BILLING LOTS,4,377,1204,,RK,"101 AVENUE D, B-1",B-1,10009,,1,1,,,2010,2,RR,"5,100,000",12/13/2019
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,2,393,1007,,R2,"642-646 EAST 11TH STREET, C2",C2,10009,1,,1,,,,2,R2,0,12/2/2019
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,2,393,1030,,R2,"383 E 10TH STREET, B4",B4,10009,1,,1,,,,2,R2,"1,190,000",3/16/2020
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,2,398,1034,,R2,"182 EAST 2ND STREET, 5F",5F,10009,1,,1,,,,2,R2,"670,000",4/1/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,373,1007,,R4,"324 EAST 4TH STREET, 5A",5A,10009,1,,1,,,1920,2,R4,"825,000",3/5/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,373,1008,,R4,"324 EAST 4TH STREET, 5B",5B,10009,1,,1,,,1920,2,R4,"810,000",9/20/2019
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,375,1008,,R4,"754 EAST 6TH STREET, 3B",3B,10009,1,,1,,,,2,R4,0,6/10/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,378,1003,,R4,"399 EAST 8TH STREET, 2A",2A,10009,1,,1,,,2014,2,R4,"906,243",6/26/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,378,1023,,R4,"399 EAST 8TH STREET, 7A",7A,10009,1,,1,,,2014,2,R4,"970,000",6/17/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,378,1024,,R4,"399 EAST 8TH STREET, 7B",7B,10009,1,,1,,,2014,2,R4,"765,000",6/24/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,384,1224,,R4,"310 EAST HOUSTON STREET, PHF",PHF,10002,1,,1,,,2005,2,R4,0,12/19/2019
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,384,1407,,R4,"229 EAST 2ND STREET, 1B/2A",1B/2A,10009,1,,1,,,2008,2,R4,"2,325,000",3/13/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,390,1002,,R4,"217 EAST 7TH STREET, LL-A",LL-A,10009,1,,1,,,,2,R4,"835,000",8/26/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1023,,R4,"143 AVENUE B, 6B",6B,10009,1,,1,,,1928,2,R4,"6,000",3/6/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1025,,R4,"143 AVENUE B, 6D",6D,10009,1,,1,,,1928,2,R4,"925,000",5/1/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1047,,R4,"143 AVENUE B, 9E",9E,10009,1,,1,,,1928,2,R4,"935,000",10/24/2019
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1119,,R4,"631 EAST 9TH STREET, 4A",4A,10009,1,,1,,,2005,2,R4,"1,355,000",10/30/2019
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1121,,R4,"631 EAST 9TH STREET, 5A",5A,10009,1,,1,,,2005,2,R4,"1,350,000",1/24/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,397,1004,,R4,"175 EAST 2ND STREET, 1B",1B,10009,1,,1,,,,2,R4,"775,000",1/30/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,397,1118,,R4,"240 EAST HOUSTON STREET, 5E",5E,10002,1,,1,,,,2,R4,"1,625,000",6/29/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,405,1303,,R4,"525 E. 11TH STREET, 3B",3B,10009,1,,1,,,1965,2,R4,0,8/4/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,405,1309,,R4,"525 E. 11TH STREET, 4B",4B,10009,1,,1,,,1965,2,R4,0,8/4/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,405,1311,,R4,"525 EAST 11TH STREET, 4D",4D,10009,1,,1,,,1965,2,R4,0,5/28/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1201,,R4,"536 EAST 13TH STREET, 1",1,10009,1,,1,,,2013,2,R4,"1,600,000",7/24/2020
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1210,,R4,"536 EAST 13TH STREET, 6F",6F,10009,1,,1,,,2013,2,R4,"1,450,000",8/17/2020
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT,2A,389,46,,S4,"629 EAST 6TH STREET, 5",,10009,4,1,5,2271,6985,1900,2,S4,"1,337,000",11/5/2019
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT,2A,391,19,,S3,624 EAST 9TH STREET,,10009,3,1,4,"1,520","3,360",1910,2,S3,"5,200,000",1/14/2020
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT,2A,391,41,,S3,337 EAST 8TH STREET,,10009,3,1,4,"2,324","4,744",1900,2,S3,0,12/16/2019
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT,2B,406,6,,S9,204 AVENUE A,,10009,6,2,8,"2,472","5,048",1910,2,S9,2,12/18/2019
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,377,1403,,R1,"253 EAST 7TH STREET, 3",3A,10009,1,,1,,,2017,2,R1,"1,268,975",12/30/2019
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,377,1404,,R1,"253 EAST 7TH STREET, 3B",3B,10009,1,,1,,,2017,2,R1,"1,257,539",1/23/2020
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,377,1406,,R1,"253 EAST 7TH STREET, 4B",4B,10009,1,,1,,,2017,2,R1,"1,438,003",12/20/2019
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,377,1408,,R1,"253 EAST 7TH STREET, 8",8,10009,1,,1,,,2017,2,R1,"3,000,000",12/10/2019
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,384,1002,,R1,"211 EAST 2ND STREET, 2",2,10009,1,,1,,,1905,2,R1,0,7/30/2020
